,Open,High,Low,Close,Volume
2011-11-30 00:00:00,1.33228,1.33251,1.33223,1.33237,1220599975.5859375
2011-11-30 00:01:00,1.33237,1.33237,1.3321,1.3322,956299972.5341796
2011-11-30 00:02:00,1.33221,1.33221,1.33189,1.33195,1051699981.6894532
2011-11-30 00:03:00,1.33193,1.33193,1.33136,1.33153,1711000061.0351562
2011-11-30 00:04:00,1.33148,1.33168,1.33141,1.33143,1682500000.0
2011-11-30 00:05:00,1.33143,1.33149,1.33124,1.3313,798600006.1035156
2011-11-30 00:06:00,1.3313,1.33158,1.33129,1.3315,1075500030.517578
2011-11-30 00:07:00,1.3315,1.33165,1.3314,1.33159,1772799987.7929688
2011-11-30 00:08:00,1.33159,1.33185,1.33159,1.33161,1514499969.482422
2011-11-30 00:09:00,1.33166,1.33176,1.33163,1.33174,1249899978.6376953
2011-11-30 00:10:00,1.33172,1.33175,1.33168,1.3317,759000015.2587891
2011-11-30 00:11:00,1.33172,1.33232,1.33171,1.33229,1533899993.8964844
2011-11-30 00:12:00,1.33226,1.3325,1.33209,1.33209,1914700012.2070312
2011-11-30 00:13:00,1.33211,1.33219,1.33182,1.33182,1247699966.430664
2011-11-30 00:14:00,1.33184,1.33217,1.33175,1.33217,1361000061.0351562
2011-11-30 00:15:00,1.33215,1.33228,1.33201,1.33211,1233600006.1035156
2011-11-30 00:16:00,1.33211,1.33225,1.33206,1.33225,642200012.2070312
2011-11-30 00:17:00,1.33225,1.33259,1.33225,1.33259,1403399963.3789062
2011-11-30 00:18:00,1.33258,1.33277,1.3325,1.33256,1567100067.138672
2011-11-30 00:19:00,1.33256,1.33256,1.33232,1.33237,1166399993.8964844
2011-11-30 00:20:00,1.33235,1.33268,1.33235,1.33268,1304100036.6210938
2011-11-30 00:21:00,1.33268,1.33279,1.33263,1.33274,1200800018.3105469
2011-11-30 00:22:00,1.33274,1.33275,1.33253,1.3326,1186299972.5341797
2011-11-30 00:23:00,1.33261,1.33272,1.33261,1.33271,1035000000.0
2011-11-30 00:24:00,1.33268,1.3327,1.33252,1.33254,1249700012.2070312
2011-11-30 00:25:00,1.33254,1.33258,1.33236,1.33249,998099975.5859376
2011-11-30 00:26:00,1.33248,1.33248,1.3323,1.33232,1634700012.2070312
2011-11-30 00:27:00,1.33232,1.33236,1.33213,1.33223,1279499969.482422
2011-11-30 00:28:00,1.33221,1.33231,1.33214,1.33223,729300003.0517578
2011-11-30 00:29:00,1.33223,1.33226,1.332,1.33208,625200004.5776367
2011-11-30 00:30:00,1.3321,1.33237,1.33206,1.33218,1647799987.7929688
2011-11-30 00:31:00,1.33219,1.33232,1.33217,1.33232,594300003.0517578
2011-11-30 00:32:00,1.3323,1.33265,1.3323,1.33265,1182300033.569336
2011-11-30 00:33:00,1.33265,1.33275,1.33256,1.33258,1324299926.7578125
2011-11-30 00:34:00,1.33258,1.33271,1.33253,1.33267,1593399963.3789062
